Modelo,MSE,MSE_std,R2,R2_std,CCC,CCC_std
NN1  MLP,0.05660774402320385,0.009039005546484884,0.16836709499359132,0.12523415927024173,0.3442996,0.13092062
NN2  LSTM,0.03841333918273449,0.007639028715859228,0.5542894768714904,0.08422493902300193,0.785598,0.035870325
NN3  BiGRU+Attn,0.026422880850732328,0.004671522321157851,0.6913753736019135,0.06737269284331057,0.839515,0.033971183
